Input_Size,Run_ID,Algorithm,Comparisons
1000,90,SelectionSort,499500
1000,90,MergeSort,8731
1000,90,QuickSort,11052
1000,90,HeapSort,11672
1000,91,BubbleSort,999000
1000,91,InsertionSort,253790
1000,91,SelectionSort,499500
1000,91,MergeSort,8688
1000,91,QuickSort,10816
1000,91,HeapSort,11662
1000,92,BubbleSort,999000
1000,92,InsertionSort,246468
1000,92,SelectionSort,499500
1000,92,MergeSort,8712
1000,92,QuickSort,12173
1000,92,HeapSort,11747
1000,93,BubbleSort,999000
1000,93,InsertionSort,245805
1000,93,SelectionSort,499500
1000,93,MergeSort,8731
1000,93,QuickSort,11704
1000,93,HeapSort,11685
1000,94,BubbleSort,999000
1000,94,InsertionSort,243083
1000,94,SelectionSort,499500
1000,94,MergeSort,8725
1000,94,QuickSort,11212
1000,94,HeapSort,11622
1000,95,BubbleSort,999000
1000,95,InsertionSort,246521
1000,95,SelectionSort,499500
1000,95,MergeSort,8718
1000,95,QuickSort,11044
1000,95,HeapSort,11747
1000,96,BubbleSort,999000
1000,96,InsertionSort,246709
1000,96,SelectionSort,499500
1000,96,MergeSort,8695
1000,96,QuickSort,11011
1000,96,HeapSort,11669
1000,97,BubbleSort,999000
1000,97,InsertionSort,250297
1000,97,SelectionSort,499500
1000,97,MergeSort,8710
1000,97,QuickSort,12421
1000,97,HeapSort,11691
1000,98,BubbleSort,999000
1000,98,InsertionSort,250928
1000,98,SelectionSort,499500
1000,98,MergeSort,8700
1000,98,QuickSort,12194
1000,98,HeapSort,11698
1000,99,BubbleSort,999000
1000,99,InsertionSort,250683
1000,99,SelectionSort,499500
1000,99,MergeSort,8716
1000,99,QuickSort,11930
1000,99,HeapSort,11695
1000,100,BubbleSort,999000
1000,100,InsertionSort,247664
1000,100,SelectionSort,499500
1000,100,MergeSort,8677
1000,100,QuickSort,10581
1000,100,HeapSort,11730
1000,101,BubbleSort,999000
1000,101,InsertionSort,253488
1000,101,SelectionSort,499500
1000,101,MergeSort,8689
1000,101,QuickSort,12319
1000,101,HeapSort,11726
1000,102,BubbleSort,999000
1000,102,InsertionSort,249382
1000,102,SelectionSort,499500
1000,102,MergeSort,8691
1000,102,QuickSort,10555
1000,102,HeapSort,11727
1000,103,BubbleSort,999000
1000,103,InsertionSort,245883
1000,103,SelectionSort,499500
1000,103,MergeSort,8688
1000,103,QuickSort,11837
1000,103,HeapSort,11659
1000,104,BubbleSort,999000
1000,104,InsertionSort,253596
